Code,Title,Levels,Runtime,RelDate,Season,Authors,Tier,Price,Seed,G.Ad.,Eber,RMH,Epic,URL
CCC-3MAGS-01,Vormestrand's Scroll,1-4,7,,,,,,,,,,,https://www.dmsguild.com/product/260364/CCC3MAGSONE-Vormestrands-Scroll?affiliate_id=171040
CCC-AETHER01-01,The Heir of Orcus: Verse I,1-4,2-4,,,,,,,,,,,https://www.dmsguild.com/product/258606/CCCAETHER0101-The-Heir-of-Orcus-Verse-I?affiliate_id=171040
CCC-AETHER01-02,The Heir of Orcus: Verse II,1-4,4,,,,,,,,,,,https://www.dmsguild.com/product/258619/CCCAETHER0102-The-Heir-of-Orcus-Verse-II?affiliate_id=171040
CCC-ALMOG-01,TALES01-01 What Lies Beneath,1-4,4,,,,,,,,,,,https://www.dmsguild.com/product/257958/CCCALMOG01-TALES0101-What-Lies-Beneath?affiliate_id=171040
CCC-ALMOG-03,TALES03-01 - Claws of Fury,11-16,4,,,,,,,,,,,https://www.dmsguild.com/product/250115/CCCALMOG03-TALES0301-Claws-of-Fury?affiliate_id=171040
CCC-AMER-01,Asleep and Awake,1-4,4,,,,,,,,,,,https://www.dmsguild.com/product/247005/CCCAMER01-Asleep-and-Awake?affiliate_id=171040
CCC-AN-01,Secrets of Golden Fire,1-4,4,,,,,,,,,,,https://www.dmsguild.com/product/263173/CCCAN01-Secrets-of-Golden-Fire?affiliate_id=171040
CCC-AN-02,The Wrathful Deity of Khurovogo,1-4,2,,,,,,,,,,,https://www.dmsguild.com/product/250006/CCCAN02-The-Wrathful-Deity-of-Khurovogo?affiliate_id=171040
CCC-AN-03,Winter Wonderland,5-10,4,,,,,,,,,,,https://www.dmsguild.com/product/256915/CCCAN03-Winter-Wonderland?affiliate_id=171040
CCC-ANIME-1-1,Legend of the Sword Bandit,1-4,2,,,,,,,,,,,https://www.dmsguild.com/product/236786/CCC--Anime--11-Legend-of-the-Sword-Bandit-Surprise?affiliate_id=171040
CCC-ANIME-1-2,"Let's Find the Sword, Go!",5-10,2,,,,,,,,,,,https://www.dmsguild.com/product/236787/CCC--Anime--12-Lets-Find-the-Sword-GO?affiliate_id=171040
CCC-ANIME-1-3,"Star Sword, Return",5-10,2,,,,,,,,,,,https://www.dmsguild.com/product/236788/CCC--Anime--13-Star-Sword-Return?affiliate_id=171040
CCC-APL-01-01,It's Not Easy Being Gene,1-4,4,,,,,,,,,,,https://www.dmsguild.com/product/262265/CCCAPL0101-Its-Not-Easy-Being-Gene?affiliate_id=171040
CCC-BLD-0103,Bleeding Gate: Lineage,5-10,2,,,,,,,,,,,https://www.dmsguild.com/product/231700/CCCBLD-0103-Bleeding-Gate-Lineage?affiliate_id=171040
CCC-BLD-11,Bleeding Gate: Pandemonium,1-4,2,,,,,,,,,,,https://www.dmsguild.com/product/218024/CCCBLD-11-Bleeding-Gate-Pandemonium?affiliate_id=171040
CCC-BLD-12,Bleeding Gate: Amalgamation,1-4,2,,,,,,,,,,,https://www.dmsguild.com/product/218099/CCCBLD-12-Bleeding-Gate-Amalgamation?affiliate_id=171040
CCC-BMG MOON 1-1,Moonshae Treasure Hunt,1-4,2-4,,,,,,,,,,,https://www.dmsguild.com/product/262080/CCCBMGMOON11-Moonshae-Treasure-Hunt?affiliate_id=171040
CCC-BMG-01-CORE1-1,A Scream in the Night,1-4,4,,,,,,,,,,,https://www.dmsguild.com/product/184998/CCCBMG01-CORE-11-A-Scream-in-the-Night
CCC-BMG-02-CORE1-2,A Cog in the Wheel,1-4,4,,,,,,,,,,,https://www.dmsguild.com/product/185274/CCCBMG02-CORE-12-A-Cog-in-the-Wheel?affiliate_id=171040
CCC-BMG-03-CORE1-3,A Hole in the World,1-4,4,,,,,,,,,,,https://www.dmsguild.com/product/185275/CCCBMG03-CORE-13-A-Hole-in-the-World?affiliate_id=171040
CCC-BMG-04-CORE2-1,Tales of Good & Evil,1-4,4,,,,,,,,,,,https://www.dmsguild.com/product/189087/CCCBMG04-CORE-21-Tales-of-Good--Evil?affiliate_id=171040
